Solar.R_1,Solar.R_2,Solar.R_3,Wind_1,Wind_2,Wind_3,Temp_1,Temp_2,Temp_3,Month_6,Month_7,Month_8,Month_9,Day_1,Day_2,Day_3,Ozone
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41
1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,36
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,16
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,11
0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,14
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,18
0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,14
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,34
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6
0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,30
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,11
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,32
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,23
0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,45
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,115
0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,37
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,29
0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,71
0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,39
1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,23
0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,21
0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,37
0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,20
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,12
1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,13
0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,135
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,49
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,32
0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,64
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,40
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,77
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,97
0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,97
0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,85
0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,10
0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,27
0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,7
0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,48
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,35
0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,61
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,79
0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,63
0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,16
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,80
0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,108
0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,20
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,52
0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,82
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,50
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,64
0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,59
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,39
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,9
0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,16
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,122
0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,89
0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,110
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,44
0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,28
1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,65
0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,22
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,59
1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,23
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,31
0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,44
0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,21
0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,9
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,45
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,168
0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,73
0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,76
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,118
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,84
0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,85
1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,96
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,78
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,73
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,91
1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,47
1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,32
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,20
0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,23
0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,21
0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,24
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,44
0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,21
0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,28
0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,9
1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,13
0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,46
0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,18
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,13
0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,24
0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,16
0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,13
0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,23
1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,36
0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,7
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,14
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,30
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,14
1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,18
0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,20
